RECI,idloc,id_rec,dep,"nomdep",PROV,"nomprov",sec,"nombremunicipio","AsientoElectoral",dist,"nomdist",zona,"nomzona",CIRCUNDIST,"nombrerecinto",Habilitados,Inhabilitados,Depurados,"NombreReci","NombreMuni","AsientoEle",latitud,longitud,density,CANTIDAD DE MESAS,x,y
1,3487,1003204348700001,4,"Oruro",2,"Abaroa",1,"Challapata","Machoca Churacani",1,"SIN DISTRITO",1,"SIN ZONA",31,"U. E. Churacani",206,0,14,"U. E. Churacani","Challapata","Machoca Churacani",-18.881679,-66.687638,30.434727852850354,1,1396.73,883.081672339895
1013,979,1003203097901013,3,"Cochabamba",10,"Chapare",1,"Sacaba","Larati",0,"SIN DISTRITO",0,"SIN ZONA",23,"Unidad Educativa Larati",877,4,56,"Unidad Educativa Larati","Sacaba","Larati",-17.3438,-66.0126,257.46388092803494,4,2142.76,2440.0312360012795
25948,4262,1003203426225948,3,"Cochabamba",9,"Quillacollo",1,"Quillacollo","Potrero",0,"SIN DISTRITO",0,"SIN ZONA",28,"U. E. Potrero",1039,5,1,"U. E. Potrero","Quillacollo","Potrero",-17.326364,-66.302063,588.9342655974604,5,1670.8,2324.949995057675
319,1734,1003205173400319,5,"Potosí",10,"Sud Lipez",1,"San Pablo","Cerrillos",0,"SIN DISTRITO",0,"SIN ZONA",37,"Salon de Comunidad",89,0,12,"Salon de Comunidad","San Pablo","Cerrillos",-21.417297,-66.484176,0.5720950552860388,1,1491.68,566.0743434454014
2285,653,1003202065302285,2,"La Paz",17,"Manco Kapac",1,"Copacabana","Huacuyo",0,"SIN DISTRITO",0,"SIN ZONA",14,"Esc. Col. Tec. Humanistico Huacuyo",486,2,45,"Esc. Col. Tec. Humanistico Huacuyo","Copacabana","Huacuyo",-16.17805,-69.03305,34.99842265027856,3,493.268,2329.4555442477385
395,1800,1003205180000395,5,"Potosí",12,"Antonio Quijarro",2,"Tomave","Carlos Machicao",0,"SIN DISTRITO",0,"SIN ZONA",36,"U.E. Mariscal De Ayacucho",163,0,27,"U.E. Mariscal De Ayacucho","Tomave","Carlos Machicao",-19.698625,-66.57069,1.1044934420164336,1,1397.31,779.867825074899
488,1526,1003205152600488,5,"Potosí",2,"Bustillo",2,"Chayanta","Nueva Colcha",0,"SIN DISTRITO",0,"SIN ZONA",39,"U. E. Cnl. Ramon Acero",324,1,31,"U. E. Cnl. Ramon Acero","Chayanta","Nueva Colcha",-18.300114,-66.376452,8.730171136994487,2,1542.3,978.6398921389874
11091,2234,1003207223411091,7,"Santa Cruz",1,"Andrés Ibáñez",1,"Santa Cruz de La Sierra","Santa Cruz de la Sierra",6,"DISTRITO 6",250,"UV-250",49,"U.E. Miguel Aponte",21,0,0,"U.E. Miguel Aponte","Santa Cruz de La Sierra","Santa Cruz de la Sierra",-17.931516,-63.027941,147.1842674453502,1,2969.43,1058.4800132217156
18016,2318,1003207231818016,7,"Santa Cruz",4,"Ichilo",3,"Yapacaní","Choré",0,"SIN DISTRITO",1,"CHORE",57,"Esc. Mariscal Sucre",1424,4,86,"Esc. Mariscal Sucre","Yapacaní","Choré",-17.38778,-63.96143,77.41252931542674,7,2207.27,2200.6298574945636
25522,4113,1003203411325522,3,"Cochabamba",8,"Germán Jordán",2,"Toco","Chullpa Loma",0,"SIN DISTRITO",0,"SIN ZONA",25,"U.E. Chullpa Loma",277,1,6,"U.E. Chullpa Loma","Toco","Chullpa Loma",-17.6387,-65.9116,112.00252664864799,2,1899.69,1212.725403997408
