latr,lonr,index,"País","nomdep","nomprov","nomdist","AsientoElectoral","nombrerecinto","DIRECCIÓN RECINTO ELECTORAL",CANTIDAD DE MESAS,Habilitados,latitud,longitud,dif,Inscritos,"Recinto",num_rec,"nombremunicipio",id_rec,density,x,y
-23.5,-46.25,67,"Brasil","Sao Paulo","Sao Paulo","Itaquaquecetuba","Itaquaquecetuba","Escuela Estadual Homero Fernando Milano","Escuela Estadual Homero Fernando Milano",5,998,-23.48194,-46.352921,0,998,"Escuela Estadual Homero Fernando Milano",5,"Itaquaquecetuba",1103418438726099,1.5968,751.503,214.99331092841047
-23.25,-64.25,68,"Argentina","Salta","Orán","San Ramón de la Nueva Orán","San Ramón de la Nueva Orán","Escuela De Comercio Julio Cortez Nº 5091","Zona Central, Calle Arenales N 628, San Ramon de la Nueva Oran, Salta, Argentina",5,1083,-23.1369094,-64.3231212,0,1083,"Escuela De Comercio Julio Cortez Nº 5091",5,"San Ramón de la Nueva Orán",1101122376525090,1.7328,416.596,358.7865555152234
-23,-43.25,34,"Brasil","Río de Janeiro","Río de Janeiro","Río de Janeiro","Río de Janeiro","Consulado","Avenida Rui Barbosa N 664, Barrio de Flamengo",2,314,-22.9114492,-43.173993,0,314,"Consulado",2,"Río de Janeiro",1103433377625101,0.5024,882.702,181.66348391159937
-22.5,-69,161,"Chile","Antofagasta","El Loa","Calama","Calama","Escuela Básica D-37 República de Bolivia","Emilio Sotomayor 2254, Calama, Región de Antofagasta, Chile",38,8932,-22.462751,-68.928772,0,8932,"Escuela Básica D-37 República de Bolivia",38,"Calama",1104438378225107,14.2912,226.485,314.14124264013486
-22.5,-63.75,8,"Argentina","Salta","General José de San Martín","Tartagal","Tartagal","Salón de la Cultura","San Martin y, A4560 Tartagal, Salta, Argentina",1,72,-22.5167622,-63.8056084,0,72,"Salón de la Cultura",1,"Tartagal",1101122438026092,0.1152,428.059,366.4744563669057
-22,-65.5,50,"Argentina","Jujuy","Yaví","La Quiaca","La Quiaca","Sede de Estudios Universitarios","Calle Republica Arabe Siria 300-400, casi esq 25 de Mayo, La Quiaca, Jujuy, Argentina",3,533,-22.1047159,-65.6000269,0,533,"Sede de Estudios Universitarios",3,"La Quiaca",1101112376025067,0.8528,370.411,369.6417166408214
-22,-63.75,39,"Argentina","Salta","General José de San Martín","Profesor Salvador Mazza","Profesor Salvador Mazza","Municipalidad De Profesor Salvador Mazza","Pocitos, Av. Gral. San Martin y Calle Gral. Balcarce",2,392,-22.0543953,-63.6862535,0,392,"Municipalidad De Profesor Salvador Mazza",2,"Profesor Salvador Mazza",1101122376425089,0.6272,426.161,373.0857548760854
-20.75,-49.5,49,"Brasil","Sao Paulo","Sao Paulo","Sao José do Rio Preto","Sao José do Rio Preto","Escola Municipal Nice Beolchi Nunes Ferreira","R. Indalécio Thomaz de Aquino, 2315 - Água Limpa III, Bady Bassitt - SP, 15115- 000, Brasil",3,500,-20.776485,-49.392103,0,500,"Escola Municipal Nice Beolchi Nunes Ferreira",3,"Sao José do Rio Preto",1103418438826100,0.8,465.256,374.6809173875699
-20.25,-70.25,155,"Chile","Tarapaca","Iquique","Iquique","Iquique","Colegio Bernardo O´higgins","Paseo Baquedano, entre calle Bulnes y Calle Orella, Iquique, Región de Tarapacá, Chile",29,6692,-20.21864,-70.15078,-239,6931,"Colegio Bernardo O´higgins",30,"Iquique",1104439378325108,10.7072,185.123,343.1892167433473
-19,-57.75,26,"Brasil","M.Grosso do Sul","Bajo Pantanal","Corumbá","Corumbá","Cyriaco Félix de Toledo","Calle Delamare esquina con Calle Major Gama CEP 79331-010",1,232,-19.0006759,-57.6578245,0,232,"Cyriaco Félix de Toledo",1,"Corumbá",1103478389726115,0.3712,447.45,370.16301139159543
-18.5,-70.25,131,"Chile","Arica","Arica","Arica","Arica","Colegio Integrado Eduardo Frei Montalva","Calle San Marcos 611, Arica, Región de Arica y Parinacota, Chile",14,3150,-18.4826722,-70.3173691,0,3150,"Colegio Integrado Eduardo Frei Montalva",14,"Arica",1104437378025105,5.04,202.942,374.4899574302539
-18,-70.25,22,"Perú","Tacna","Tacna","Tacna","Tacna","I. E. 42010 Santisima Niña Maria","Piura 126, Tacna 23001, Perú",1,222,-18.0059247,-70.2381341,0,222,"I. E. 42010 Santisima Niña Maria",1,"Tacna",1118247379025115,0.3552,230.853,386.85010554291955
-17.75,-71.25,7,"Perú","Moquegua","Moquegua","Ilo","Ilo","Consulado","Calle Bolivia N111 esq. Costa Rica, Edificio N2 de Minero",1,69,-17.6349479,-71.3366851,0,69,"Consulado",1,"Ilo",1118248379125116,0.1104,139.021,357.2808147532517
