ID_RECI,LAT,LON,HAB,INHAB,PAIS,N_MESAS,REC,MUN,BOL,CIU,PROV,DEP,URB,DEN_C,DEN
1003207287318026,-17.005418,-63.905788,332,7,Bolivia,2,U.E. Ayacucho,San Juan,True,,Ichilo,Santa Cruz,ruralconect,12.0252916495,4.712783189689832
1003207287403031,-18.52514,-64.29378,64,1,Bolivia,1,Esc. Nucleo Central,Moromoro,True,,Vallegrande,Santa Cruz,ruralaislado,2.06293131808,2.464186801583363
1003207289401026,-17.65729,-63.24299,541,12,Bolivia,3,Escuela Tarumatu,Porongo,True,,Andrés Ibáñez,Santa Cruz,metropol,16.805295219800001,47.13141208493043
1003207294000004,-16.767870000000002,-61.81025,1496,30,Bolivia,7,Esc. Padre Matias Lens,San Antonio de Lomerio,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,44.168130299200001,24.444137437995728
1003207294100023,-16.981817000000003,-61.857027,279,19,Bolivia,2,Esc. Seccional Salinas,San Antonio de Lomerio,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,0.95587325956500002,4.197615405552183
1003207294220025,-16.708375,-61.872912,303,9,Bolivia,2,Esc. San Lorenzo,San Antonio de Lomerio,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,90.747263501600003,6.911829829272808
1003207305311029,-17.69003,-62.99211999999999,1654,20,Bolivia,8,Unidad Educativa Fidel Saucedo,Cotoca,True,,Andrés Ibáñez,Santa Cruz,metropol,57.859218147999897,103.6386003874259
1003207305401035,-17.769470000000002,-63.24335,2173,30,Bolivia,10,Escuela San Lorenzo,Porongo,True,,Andrés Ibáñez,Santa Cruz,metropol,36.636305613399898,1184.647041187631
1003207305501031,-17.88821,-63.36818,257,2,Bolivia,2,Escuela Central Sombrerito,Porongo,True,,Andrés Ibáñez,Santa Cruz,metropol,14.148899884900001,128.96028037995603
1003207305601032,-17.87279,-63.4469,139,9,Bolivia,1,Escuela Irenia Montero,Porongo,True,,Andrés Ibáñez,Santa Cruz,periurbano,9.6719664097999996,3.3734804711098114
1003207305717010,-16.430695,-63.107362,558,20,Bolivia,3,Esc. 10 de Noviembre,El Puente,True,,Guarayos,Santa Cruz,ruralconect,8.2610458575999903,9.240917415380695
1003207305807009,-16.36871,-63.209897999999995,475,0,Bolivia,3,Esc. Seccional El Carmen,El Puente,True,,Guarayos,Santa Cruz,ruralconect,0.54905065526499996,12.107636837059479
1003207305909013,-17.98781,-63.05506,867,18,Bolivia,4,Esc. La Peña- Brecha-3,La Guardia,True,,Andrés Ibáñez,Santa Cruz,metropol,9.6916705599099906,13.761139111475897
1003207306001033,-18.09747,-63.34325,491,3,Bolivia,3,Escuela 23 de Marzo,El Torno,True,,Andrés Ibáñez,Santa Cruz,periurbano,31.508816299500001,14.495790538140243
1003207306111034,-18.08387,-63.45114,1317,24,Bolivia,6,Escuela Tiquipaya,El Torno,True,,Andrés Ibáñez,Santa Cruz,metropol,35.610486626399897,66.08402184186629
1003207306125533,-18.101376000000002,-63.448167000000005,126,0,Bolivia,1,U.E. Marcelo Quiroga Santa Cruz,El Torno,True,,Andrés Ibáñez,Santa Cruz,periurbano,215.038429495999,56.25868877483829
1003207306201030,-18.22056,-63.46001,129,2,Bolivia,1,Seccional Parabanocito,El Torno,True,,Andrés Ibáñez,Santa Cruz,desconocido,desconocido,4.163440602027559
1003207306314064,-20.37102,-63.413909999999994,177,2,Bolivia,1,Esc. Unidad Educativa Ivicuati,Cuevo,True,,Cordillera,Santa Cruz,ruralconect,4.0996665584400001,3.3025587090000466
1003207306404065,-20.141238,-63.679778000000006,165,0,Bolivia,1,Esc. Unidad Seccional Huaraca,Cuevo,True,,Cordillera,Santa Cruz,ruralconect,3.2469698356899999,4.45389439510618
1003207309514020,-18.989088,-63.328658,278,0,Bolivia,2,Esc. Secc. Tacobo,AIOC Charagua Iyambae,True,,Cordillera,Santa Cruz,ruralconect,0.57502764504199999,6.1785968450315645
1003207317803018,-17.933752,-62.680268999999996,1098,19,Bolivia,5,Esc. Municipal Rosal Centro,Pailón,True,,Chiquitos,Santa Cruz,periurbano,33.648316805999897,21.029213009064048
1003207317803019,-18.010844,-62.688219999999994,130,0,Bolivia,1,Esc. 25 de Mayo (Chiquitos),Pailón,True,,Chiquitos,Santa Cruz,ruralconect,4.0499971527799996,2.682345255845312
1003207317922016,-16.885189,-63.832018000000005,1178,31,Bolivia,6,Esc.  Mixto Los Andes,Santa Rosa,True,,Sara,Santa Cruz,ruralconect,42.242210447200002,21.429072224129953
1003207318004067,-18.31618,-63.003792000000004,192,6,Bolivia,1,Esc. Santa Rosa,Cabezas,True,,Cordillera,Santa Cruz,ruralconect,10.8002848687,2.549961823274893
1003207318104066,-18.299727999999998,-63.423712,287,3,Bolivia,2,Esc. Pampa Del Coscal,Cabezas,True,,Cordillera,Santa Cruz,ruralaislado,1.0271388031899999,4.003708569648305
1003207318215014,-18.234377,-63.945482,1180,19,Bolivia,6,Esc. Central Bella Victoria,Samaipata,True,,Florida,Santa Cruz,ruralconect,35.878757383900002,22.250761815434238
1003207318320026,-16.641865,-63.292251,219,6,Bolivia,1,U.E.  1ro de Marzo,San Julian,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,0.18083267785500001,2.6937773626281074
1003207318420027,-16.834164,-62.723048999999996,135,1,Bolivia,1,Esc. San Antonio,San Julian,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,7.9675520256399999,4.166671844731335
1003207318520028,-16.911285,-62.625744,102,2,Bolivia,1,Esc. Sebastian Pagador,San Julian,True,,Ñuflo De Chávez,Santa Cruz,desconocido,desconocido,313.3306564649649
1003207318600029,-16.639802,-62.788389,443,4,Bolivia,2,Esc. Nucleo 66 2 De Agosto,San Julian,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,8.78219204058,6.288902631889872
1003207318720030,-16.63566,-62.91896,313,8,Bolivia,2,Escuela Luz y Verdad,San Julian,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,4.1675694227199997,10.796299209892315
1003207318807011,-16.399060000000002,-63.136772,280,7,Bolivia,2,Esc. U.E. Bolivar,El Puente,True,,Guarayos,Santa Cruz,ruralconect,1.01124785317,9.62251801912967
1003207318919015,-18.02102,-64.32231999999999,56,0,Bolivia,1,Esc.  El Jague,Comarapa,True,,Manuel María Caballero,Santa Cruz,ruralconect,2.09335708407,1.6143942989460747
1003207319007012,-15.917670999999999,-63.383224,68,1,Bolivia,1,Esc. Seccional Limoncito,El Puente,True,,Guarayos,Santa Cruz,ruralconect,1.28647753834,4.881325645255053
1003207319206017,-17.74769,-63.05226999999999,1654,24,Bolivia,8,Esc. Mariscal Antonio Jose De Sucre,Cotoca,True,,Andrés Ibáñez,Santa Cruz,metropol,102.728741994999,736.6208443734304
1003207319206018,-17.69314,-63.0174,3345,53,Bolivia,16,Escuela U.E Club Social 24 de Septiembre,Cotoca,True,,Andrés Ibáñez,Santa Cruz,metropol,57.820219047599899,136.26277485888195
1003207319226072,-17.721085000000002,-63.030424,1177,0,Bolivia,6,U. E. Ciudadela Nueva Jerusalén,Cotoca,True,,Andrés Ibáñez,Santa Cruz,metropol,48.038697731900001,292.6272152309189
1003207319300101,-17.92225,-63.501219999999996,215,8,Bolivia,1,Esc. Central Monteverde,El Torno,True,,Andrés Ibáñez,Santa Cruz,periurbano,6.6976167062799998,4.161619133504595
1003207319420032,-17.37492,-62.48614,288,4,Bolivia,2,Esc. Monte Rico,Cuatro Cañadas,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,15.913300807700001,5.902341150075591
1003207319500031,-17.460065,-62.621185,1076,11,Bolivia,5,Esc. 26 de Agosto,Cuatro Cañadas,True,,Ñuflo De Chávez,Santa Cruz,ruralconect,20.122042986699899,18.519610443341985
1003207326320033,-15.485104999999999,-62.296659999999996,146,2,Bolivia,1,U.E. 19 de Marzo,Concepción,True,,Ñuflo De Chávez,Santa Cruz,ruralaislado,0.229676400478,1.8648822005648453
1003207327700001,-17.925639999999998,-63.057430000000004,549,11,Bolivia,3,Esc. Usuri Aponte,Santa Cruz de La Sierra,True,,Andrés Ibáñez,Santa Cruz,metropol,11.2064660509,86.01922876488767
1003207327800102,-17.964760000000002,-63.363409999999995,1829,25,Bolivia,9,Escuela Santa Martha,El Torno,True,,Andrés Ibáñez,Santa Cruz,metropol,181.70491859500001,367.2712436645698
1003207327921048,-16.896857999999998,-63.310846,374,7,Bolivia,2,Esc. Aguaices,Fernández Alonso,True,,Obispo Santistéban,Santa Cruz,periurbano,19.976124743100002,7.228473360618969
1003207329220035,-18.957729,-63.720461,143,6,Bolivia,1,Esc. Unidad Educativa Arenales,Vallegrande,True,,Vallegrande,Santa Cruz,ruralconect,0.99574480021099998,2.2871934877365607
1003207331900001,-17.96183,-62.96586,1071,10,Bolivia,5,Esc. La Peña,Santa Cruz de La Sierra,True,,Andrés Ibáñez,Santa Cruz,metropol,8.7634058128499905,18.25314324555577
1003207332011038,-17.79542,-63.019090000000006,2487,32,Bolivia,12,Escuela Unidad Educativa Oscar Alfaro,Cotoca,True,,Andrés Ibáñez,Santa Cruz,metropol,58.518822956100003,254.91998037441726
1003207332026073,-17.800778,-62.973612,54,0,Bolivia,1,U.E. La  Cruceña,Cotoca,True,,Andrés Ibáñez,Santa Cruz,metropol,26.153720804799899,247.7035552251965
1003207332111037,-17.73404,-62.93764,1599,20,Bolivia,8,Escuela German Busch,Cotoca,True,,Andrés Ibáñez,Santa Cruz,metropol,40.980455649200003,92.49672978702033
1003207332220036,-18.357379,-64.228447,179,1,Bolivia,1,Esc. de Chacopata,Vallegrande,True,,Vallegrande,Santa Cruz,ruralconect,23.1459755206,8.574879022275715
1003207332300001,-17.07745,-63.27835,449,5,Bolivia,2,Esc. Las Palmas,Mineros,True,,Obispo Santistéban,Santa Cruz,periurbano,27.6581972645,20.091239824359345
