"LAT","LON","ID_RECI","HAB","INHAB","PAIS","N_MESAS","REC","MUN","BOL","CIU","PROV","DEP","URB","DEN_C"
-10.81294,-65.35497,"1003208278400013",2104,79,"Bolivia",10,"U.E.   Antonio Vaca Diez","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.81116,-65.35051,"1003208278400014",765,3,"Bolivia",4,"U.E.   Manuel Vicente Ballivian","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.82256,-65.34438,"1003208278400015",526,0,"Bolivia",3,"U.E. Miguel Antelo","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.8307,-65.3572,"1003208278400016",3685,160,"Bolivia",18,"U.E.   Brasil","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.83641,-65.35558,"1003208278400017",1040,0,"Bolivia",5,"U.E. Belen","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.83101,-65.36375,"1003208278400018",641,2,"Bolivia",3,"U.E. Simón Bolívar","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.81292,-65.35279,"1003208278400019",83,0,"Bolivia",1,"(Cárcel) Penal Guayaramerin","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-10.840114,-65.361814,"1003208278425320",905,7,"Bolivia",5,"U.E. 9 de Abril","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","periurbano","1055.22953103999"
-11.73968,-65.23228,"1003208278500001",120,2,"Bolivia",1,"Esc. Central San Lorenzo","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","ruralaislado","1.17990482288"
-14.44452,-67.5281,"1003208278600001",2200,83,"Bolivia",10,"Esc. Gualberto Villarruel","Puerto Menor de Rurrenabaque",TRUE,NA,"General José Ballivián","Beni","desconocido","desconocido"
-14.44037,-67.52292,"1003208278600003",3300,80,"Bolivia",15,"Unidad Educativa Lucio Lens","Puerto Menor de Rurrenabaque",TRUE,NA,"General José Ballivián","Beni","desconocido","desconocido"
-14.42944,-67.5043,"1003208278600004",1093,0,"Bolivia",5,"Escuela Villa Lourdes","Puerto Menor de Rurrenabaque",TRUE,NA,"General José Ballivián","Beni","desconocido","desconocido"
-14.436472,-67.523782,"1003208278632019",1613,55,"Bolivia",8,"U.E.Filadelfia (Temporal)","Puerto Menor de Rurrenabaque",TRUE,NA,"General José Ballivián","Beni","desconocido","desconocido"
-14.444755,-67.529979,"1003208278632020",1730,37,"Bolivia",8,"U.E.Fe y Alegria (Temporal)","Puerto Menor de Rurrenabaque",TRUE,NA,"General José Ballivián","Beni","desconocido","desconocido"
-14.59985,-67.27888,"1003208278700001",566,11,"Bolivia",3,"Esc. Central Nuevos Horizontes","Puerto Menor de Rurrenabaque",TRUE,NA,"General José Ballivián","Beni","ruralconect","41.469824473300001"
-14.4615,-66.93307,"1003208278800001",105,3,"Bolivia",1,"Esc. Las Abras","San Borja",TRUE,NA,"General José Ballivián","Beni","ruralaislado","3.0164617806499998"
-10.61194,-65.51111,"1003208281600001",62,1,"Bolivia",1,"Esc. San Francisco Del Yata","Guayaramerín",TRUE,NA,"Vaca Diez","Beni","ruralconect","0.442220483464"
-13.61491,-62.02819,"1003208281900001",154,4,"Bolivia",1,"Esc. San Simon","Baures",TRUE,NA,"Iténez","Beni","ruralaislado","0.29993879308600002"
-14.97235,-65.57434,"1003208282400001",129,1,"Bolivia",1,"Esc. Litoral","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","24.990836528500001"
-15.34924,-65.80604,"1003208282500001",118,2,"Bolivia",1,"Esc. Retiro","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","1.3324004740199999"
-15.53512,-65.72498,"1003208282700001",83,3,"Bolivia",1,"Esc. Monte Mae","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","0.79013381096000002"
-13.81978,-67.50578,"1003208288500001",32,0,"Bolivia",1,"Esc. San Marcos","Reyes",TRUE,NA,"General José Ballivián","Beni","ruralaislado","1.9831230491299999E-2"
-14.98267,-65.79875,"1003208288600001",142,6,"Bolivia",1,"Esc. Puerto San Borja","San Ignacio",TRUE,NA,"Moxos","Beni","ruralconect","2.0126093852000002"
