"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","CIRCUNSCRIPCION_ESPECIAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","APG","CPEM_B","CIDOB","BIA_YUQUI","CONAMAQ","OICH","ORCAWETA","YAMINAWA","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
"2156","PRESIDENTE","67","España","15","Madrid","0","0","1","Madrid","1","Madrid","3616","Madrid","25072","Colegio Público Jorge Manrique","10","220",21,46,2,1,56,"0","0","0","0","0","0","0","0","126","0","4","130","126","130",0,"110671536162507210"
"2159","PRESIDENTE","67","España","15","Madrid","0","0","1","Madrid","1","Madrid","3616","Madrid","25072","Colegio Público Jorge Manrique","13","220",34,48,3,0,32,"0","0","0","0","0","0","0","0","117","0","4","121","117","121",0,"110671536162507213"
"2167","PRESIDENTE","67","España","15","Madrid","0","0","1","Madrid","1","Madrid","3616","Madrid","25072","Colegio Público Jorge Manrique","21","220",22,54,2,1,48,"0","0","0","0","0","0","0","0","127","0","3","130","127","130",0,"110671536162507221"
"2168","PRESIDENTE","67","España","15","Madrid","0","0","1","Madrid","1","Madrid","3616","Madrid","25072","Colegio Público Jorge Manrique","22","220",33,39,3,1,45,"0","0","0","0","0","0","0","0","121","0","10","131","121","131",0,"110671536162507222"
"2169","PRESIDENTE","67","España","15","Madrid","0","0","1","Madrid","1","Madrid","3616","Madrid","25072","Colegio Público Jorge Manrique","23","220",37,31,5,2,48,"0","0","0","0","0","0","0","0","123","0","7","130","123","130",0,"110671536162507223"
"2210","PRESIDENTE","67","España","16","Cataluña","0","0","2","Barcelona","1","Barcelona","3617","Barcelona","26180","La Farga (Centro de Eventos)","1","220",36,62,1,0,47,"0","0","0","0","0","0","0","0","146","0","3","149","146","149",0,"110671636172618001"
"2212","PRESIDENTE","67","España","16","Cataluña","0","0","2","Barcelona","1","Barcelona","3617","Barcelona","26180","La Farga (Centro de Eventos)","3","220",34,49,2,0,56,"0","0","0","0","0","0","0","0","141","0","7","148","141","148",0,"110671636172618003"
"2258","PRESIDENTE","67","España","17","Valencia","0","0","3","Valencia","1","Valencia","3618","Valencia","25076","Universidad Politécnica De Valencia","1","220",71,31,3,2,23,"0","0","0","0","0","0","0","0","130","0","7","137","130","137",0,"110671736182507601"
"2259","PRESIDENTE","67","España","17","Valencia","0","0","3","Valencia","1","Valencia","3618","Valencia","25076","Universidad Politécnica De Valencia","2","220",79,20,2,1,24,"0","0","0","0","0","0","0","0","126","0","4","130","126","130",0,"110671736182507602"
"2300","PRESIDENTE","67","España","27","Murcia","0","0","4","Murcia","1","Murcia","3770","Murcia","26186","Federacion Regional de Empresarios del Metal de Murcia","11","220",34,47,1,2,23,"0","0","0","0","0","0","0","0","107","0","6","113","107","113",0,"110672737702618611"
"2314","PRESIDENTE","67","España","27","Murcia","0","0","4","Murcia","1","Murcia","3770","Murcia","26186","Federacion Regional de Empresarios del Metal de Murcia","25","220",49,45,5,1,23,"0","0","0","0","0","0","0","0","123","0","4","127","123","127",0,"110672737702618625"
"2316","PRESIDENTE","67","España","27","Murcia","0","0","4","Murcia","1","Murcia","3770","Murcia","26186","Federacion Regional de Empresarios del Metal de Murcia","27","220",51,34,4,0,18,"0","0","0","0","0","0","0","0","107","0","5","112","107","112",0,"110672737702618627"
"2349","PRESIDENTE","67","España","29","Euskadi","0","0","5","Vizcaya","1","Bilbao","3772","Bilbao","25097","Bilbao Exhibition Centre","29","220",47,42,2,0,29,"0","0","0","0","0","0","0","0","120","0","7","127","120","127",0,"110672937722509729"
"2358","PRESIDENTE","67","España","30","Andalucia","0","0","6","Sevilla ","1","Sevilla ","3773","Sevilla ","25098","Centro Social Polivalente Hogar Virgen De Los Reyes","7","220",34,29,2,1,23,"0","0","0","0","0","0","0","0","89","0","5","94","89","94",0,"110673037732509807"
