"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","CIRCUNSCRIPCION_ESPECIAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","APG","CPEM_B","CIDOB","BIA_YUQUI","CONAMAQ","OICH","ORCAWETA","YAMINAWA","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
"1684","PRESIDENTE","17","Austria","60","Viena","0","0","1","Viena","1","Viena","3803","Viena","25128","Embajada","1","90",2,16,0,0,36,"0","0","0","0","0","0","0","0","54","0","0","54","54","54",0,"110176038032512801"
"1728","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","1","Sao Paulo","3619","Sao Paulo","25200","Escuela Estadual Provincia de Nagasaki","15","220",3,144,2,0,8,"0","0","0","0","0","0","0","0","157","1","7","165","157","165",0,"110341836192520015"
"1732","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","1","Sao Paulo","3619","Sao Paulo","25200","Escuela Estadual Provincia de Nagasaki","19","125",3,74,1,0,3,"0","0","0","0","0","0","0","0","81","0","3","84","81","84",0,"110341836192520019"
"1852","PRESIDENTE","34","Brasil","18","Sao Paulo","0","0","1","Sao Paulo","2","Guarulhos","4151","Guarulhos","26121","Escola Prefeitura Guarulhos Prof. Silvia de Cassia Matias","10","45",1,15,0,0,2,"0","0","0","0","0","0","0","0","18","0","0","18","18","18",0,"110341841512612110"
"1900","PRESIDENTE","44","Chile","36","Metropolitana","0","0","1","Santiago","1","Santiago","3779","Santiago","25104","Parroquia Latinoamericana Nuestra Señora De Pompeya","13","220",44,26,3,0,34,"0","0","0","0","0","0","0","0","107","0","2","109","107","109",0,"110443637792510413"
"2037","PRESIDENTE","45","China","70","Beijing","0","0","1","Beijing","1","Beijín","3813","Beijín","25138","Embajada","1","42",0,2,0,0,13,"0","0","0","0","0","0","0","0","15","0","2","17","15","17",0,"110457038132513801"
"2210","PRESIDENTE","67","España","16","Cataluña","0","0","2","Barcelona","1","Barcelona","3617","Barcelona","26180","La Farga (Centro de Eventos)","1","220",36,62,1,0,47,"0","0","0","0","0","0","0","0","146","0","3","149","146","149",0,"110671636172618001"
"2212","PRESIDENTE","67","España","16","Cataluña","0","0","2","Barcelona","1","Barcelona","3617","Barcelona","26180","La Farga (Centro de Eventos)","3","220",34,49,2,0,56,"0","0","0","0","0","0","0","0","141","0","7","148","141","148",0,"110671636172618003"
"2258","PRESIDENTE","67","España","17","Valencia","0","0","3","Valencia","1","Valencia","3618","Valencia","25076","Universidad Politécnica De Valencia","1","220",71,31,3,2,23,"0","0","0","0","0","0","0","0","130","0","7","137","130","137",0,"110671736182507601"
"2259","PRESIDENTE","67","España","17","Valencia","0","0","3","Valencia","1","Valencia","3618","Valencia","25076","Universidad Politécnica De Valencia","2","220",79,20,2,1,24,"0","0","0","0","0","0","0","0","126","0","4","130","126","130",0,"110671736182507602"
"2366","PRESIDENTE","67","España","30","Andalucia","0","0","8","Granada","1","Granada","4393","Granada","26105","Centro Cívico Zaidín","1","220",9,139,4,1,14,"0","0","0","0","0","0","0","0","167","0","1","168","167","168",0,"110673043932610501"
"2367","PRESIDENTE","67","España","30","Andalucia","0","0","8","Granada","1","Granada","4393","Granada","26105","Centro Cívico Zaidín","2","220",6,127,2,2,22,"0","0","0","0","0","0","0","0","159","1","5","165","159","165",0,"110673043932610502"
"2368","PRESIDENTE","67","España","30","Andalucia","0","0","8","Granada","1","Granada","4393","Granada","26105","Centro Cívico Zaidín","3","220",12,122,4,0,18,"0","0","0","0","0","0","0","0","157","0","3","160","157","160",1,"110673043932610503"
"2369","PRESIDENTE","67","España","30","Andalucia","0","0","8","Granada","1","Granada","4393","Granada","26105","Centro Cívico Zaidín","4","226",10,130,2,2,20,"0","0","0","0","0","0","0","0","165","2","4","171","165","171",1,"110673043932610504"
"2380","PRESIDENTE","74","Francia","59","Ile de France","0","0","1","París","1","París","3802","París","25127","Alcaldia del distrito n°16 (Mairie du 16e arrondissement)","1","220",39,32,0,1,78,"0","0","0","0","0","0","0","0","150","2","8","160","150","160",0,"110745938022512701"
"2381","PRESIDENTE","74","Francia","59","Ile de France","0","0","1","París","1","París","3802","París","25127","Alcaldia del distrito n°16 (Mairie du 16e arrondissement)","2","220",54,46,1,1,68,"0","0","0","0","0","0","0","0","170","1","5","176","170","176",0,"110745938022512702"
"2382","PRESIDENTE","74","Francia","59","Ile de France","0","0","1","París","1","París","3802","París","25127","Alcaldia del distrito n°16 (Mairie du 16e arrondissement)","3","220",36,20,1,0,99,"0","0","0","0","0","0","0","0","156","1","1","158","156","158",0,"110745938022512703"
