"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA","ID_MESA"
1244,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,2,"Ituzaingó",1,"Ituzaingó",4129,"Ituzaingó",25192,"Esc Primaria Nro 3 Jose Manuel Estrada",11,141,1,68,2,3,0,74,0,5,79,74,79,0,"110111041292519211"
1245,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25060,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",1,220,2,123,2,1,5,133,0,28,161,133,161,0,"110111041302506001"
1246,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25060,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",2,220,2,136,3,2,8,151,0,6,157,151,157,0,"110111041302506002"
1247,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25060,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",3,220,3,134,2,1,7,147,0,8,155,147,155,0,"110111041302506003"
1248,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25060,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",4,220,0,139,5,0,3,147,0,8,155,147,155,0,"110111041302506004"
1249,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25060,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",5,220,1,147,1,1,7,157,0,6,163,157,163,0,"110111041302506005"
1250,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25060,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",6,220,3,104,0,2,11,120,0,35,155,120,155,0,"110111041302506006"
1251,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25060,"Escuela Secundaria N° 10  (Escuela Primaria  Jose Antonio Wilde 137)",7,220,2,134,3,2,12,153,0,4,157,153,157,0,"110111041302506007"
1270,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25176,"Escuela Primaria Nº 97 Juana Manso De Noronha",7,220,4,130,0,0,4,138,0,2,140,138,140,0,"110111041302517607"
1272,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25176,"Escuela Primaria Nº 97 Juana Manso De Noronha",9,220,0,145,2,1,3,151,1,3,155,151,155,0,"110111041302517609"
1274,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25176,"Escuela Primaria Nº 97 Juana Manso De Noronha",11,114,1,66,1,0,2,70,0,1,71,70,71,0,"110111041302517611"
1275,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25177,"Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)",1,220,2,151,0,0,11,164,0,6,170,164,170,0,"110111041302517701"
1276,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25177,"Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)",2,220,7,121,2,0,9,139,0,7,146,139,146,0,"110111041302517702"
1277,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25177,"Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)",3,220,0,127,3,2,6,138,2,7,147,138,147,0,"110111041302517703"
1278,"PRESIDENTE",11,"Argentina",10,"Buenos Aires",0,3,"La Matanza",1,"La Matanza",4130,"Villa Celina",25177,"Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)",4,220,1,136,4,2,3,146,0,3,149,146,149,0,"110111041302517704"
